400654,TX,10,Nay,Rep. Michael McCaul [R],Republican
400655,TX,11,Nay,Rep. Michael Conaway [R],Republican
400656,TX,24,Nay,Rep. Kenny Marchant [R],Republican
400657,TX,28,Yea,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Nay,Rep. Cathy McMorris Rodgers [R],Republican
400660,WA,8,Nay,Rep. David Reichert [R],Republican
400661,WI,4,Yea,Rep. Gwen Moore [D],Democrat
400663,CA,6,Yea,Rep. Doris Matsui [D],Democrat
408211,MN,8,Yea,Rep. Richard Nolan [D],Democrat
409888,PA,9,Nay,Rep. Bill Shuster [R],Republican
412186,NJ,8,Yea,Rep. Albio Sires [D],Democrat
412189,CA,9,Yea,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Nay,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Nay,Rep. Doug Lamborn [R],Republican
412192,CO,7,Yea,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Yea,Rep. Joe Courtney [D],Democrat
412195,FL,14,Yea,Rep. Kathy Castor [D],Democrat
412196,FL,16,Nay,Rep. Vern Buchanan [R],Republican
412199,GA,4,Yea,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412202,IL,6,Nay,Rep. Peter Roskam [R],Republican
412209,IA,2,Yea,Rep. David Loebsack [D],Democrat
412211,KY,3,Yea,Rep. John Yarmuth [D],Democrat
412212,MD,3,Yea,Rep. John Sarbanes [D],Democrat
412213,MI,7,Nay,Rep. Tim Walberg [R],Republican
412214,MN,1,Yea,Rep. Timothy Walz [D],Democrat
412215,MN,5,Not Voting,Rep. Keith Ellison [D],Democrat
412217,NE,3,Nay,Rep. Adrian Smith [R],Republican
412221,NY,9,Yea,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Nay,Rep. Jim Jordan [R],Republican
412236,TN,9,Yea,Rep. Steve Cohen [D],Democrat
412239,VT,0,Yea,Rep. Peter Welch [D],Democrat
412250,FL,12,Nay,Rep. Gus Bilirakis [R],Republican
412254,MA,3,Yea,Rep. Niki Tsongas [D],Democrat
412255,VA,1,Nay,Rep. Robert Wittman [R],Republican
412256,OH,5,Nay,Rep. Robert Latta [R],Republican
412257,IL,11,Yea,Rep. Bill Foster [D],Democrat
412258,IN,7,Yea,Rep. André Carson [D],Democrat
412259,CA,14,Yea,Rep. Jackie Speier [D],Democrat
412261,LA,1,Nay,Rep. Steve Scalise [R],Republican
412263,MD,4,Yea,Rep. Donna Edwards [D],Democrat
412270,UT,3,Nay,Rep. Jason Chaffetz [R],Republican
412271,CO,6,Nay,Rep. Mike Coffman [R],Republican
412272,VA,11,Yea,Rep. Gerald Connolly [D],Democrat
412275,LA,4,Nay,Rep. John Fleming [R],Republican
412276,FL,9,Yea,Rep. Alan Grayson [D],Democrat
412278,KY,2,Nay,Rep. Brett Guthrie [R],Republican
412280,MS,3,Nay,Rep. Gregg Harper [R],Republican
412282,CT,4,Yea,Rep. James Himes [D],Democrat
412283,CA,50,Nay,Rep. Duncan Hunter [R],Republican
412284,KS,2,Nay,Rep. Lynn Jenkins [R],Republican
412286,AZ,1,Not Voting,Rep. Ann Kirkpatrick [D],Democrat
412290,NJ,7,Nay,Rep. Leonard Lance [R],Republican
412292,MO,3,Nay,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,Yea,Rep. Ben Luján [D],Democrat
412294,WY,0,Nay,Rep. Cynthia Lummis [R],Republican
412295,CA,4,Nay,Rep. Tom McClintock [R],Republican
412302,TX,22,Nay,Rep. Pete Olson [R],Republican
412303,MN,3,Nay,Rep. Erik Paulsen [R],Republican
412307,ME,1,Yea,Rep. Chellie Pingree [D],Democrat
412308,CO,2,Yea,Rep. Jared Polis [D],Democrat
412309,FL,8,Nay,Rep. Bill Posey [R],Republican
412310,TN,1,Nay,Rep. David “Phil” Roe [R],Republican
412311,FL,17,Nay,Rep. Thomas Rooney [R],Republican
412315,OR,5,Yea,Rep. Kurt Schrader [D],Democrat
412317,PA,5,Nay,Rep. Glenn Thompson [R],Republican
412318,NV,1,Yea,Rep. Dina Titus [D],Democrat
412319,NY,20,Yea,Rep. Paul Tonko [D],Democrat
412327,OH,11,Yea,Rep. Marcia Fudge [D],Democrat
412331,IL,5,Yea,Rep. Mike Quigley [D],Democrat
412379,CA,27,Yea,Rep. Judy Chu [D],Democrat
412382,CA,3,Yea,Rep. John Garamendi [D],Democrat
412385,FL,21,Yea,Rep. Theodore Deutch [D],Democrat
412388,GA,14,Nay,Rep. Tom Graves [R],Republican
412392,IN,3,Not Voting,Rep. Marlin Stutzman [R],Republican
412393,NY,23,Nay,Rep. Tom Reed II [R],Republican
412394,AL,2,Nay,Rep. Martha Roby [R],Republican
412395,AL,5,Nay,Rep. Mo Brooks [R],Republican
412396,AL,7,Yea,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Nay,Rep. Paul Gosar [R],Republican
412399,AZ,6,Nay,Rep. David Schweikert [R],Republican
412400,AR,1,Nay,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Nay,Rep. Steve Womack [R],Republican
412403,CA,10,Nay,Rep. Jeff Denham [R],Republican
412404,CA,37,Yea,Rep. Karen Bass [D],Democrat
412405,CO,3,Nay,Rep. Scott Tipton [R],Republican
412407,DE,0,Yea,Rep. John Carney [D],Democrat
412409,FL,11,Not Voting,Rep. Richard Nugent [R],Republican
412410,FL,10,Nay,Rep. Daniel Webster [R],Republican
412411,FL,15,Nay,Rep. Dennis Ross [R],Republican
412412,FL,24,Yea,Rep. Frederica Wilson [D],Democrat
412416,GA,7,Nay,Rep. Rob Woodall [R],Republican
412417,GA,8,Nay,Rep. Austin Scott [R],Republican
412418,HI,1,Yea,Rep. Colleen Hanabusa [D],Democrat
412419,ID,1,Nay,Rep. Raúl Labrador [R],Republican
412420,IL,10,Nay,Rep. Bob Dold [R],Republican
412421,IL,16,Nay,Rep. Adam Kinzinger [R],Republican
412422,IL,14,Nay,Rep. Randy Hultgren [R],Republican
412426,IN,4,Nay,Rep. Todd Rokita [R],Republican
412427,IN,8,Nay,Rep. Larry Bucshon [R],Republican
412428,IN,9,Nay,Rep. Todd Young [R],Republican
412429,KS,1,Nay,Rep. Tim Huelskamp [R],Republican
412430,KS,3,Nay,Rep. Kevin Yoder [R],Republican
412431,KS,4,Nay,Rep. Mike Pompeo [R],Republican
412432,LA,2,Yea,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Nay,Rep. Andy Harris [R],Republican
412435,MA,9,Yea,Rep. William Keating [D],Democrat
412436,MI,1,Nay,Rep. Dan Benishek [R],Republican
412437,MI,2,Nay,Rep. Bill Huizenga [R],Republican
412438,MI,3,Nay,Rep. Justin Amash [R],Republican
412443,MS,4,Nay,Rep. Steven Palazzo [R],Republican
412444,MO,4,Nay,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Nay,Rep. Billy Long [R],Republican
412446,NV,3,Nay,Rep. Joseph Heck [R],Republican
412447,NH,1,Nay,Rep. Frank Guinta [R],Republican
412453,NY,19,Nay,Rep. Christopher Gibson [R],Republican
412454,NY,22,Not Voting,Rep. Richard Hanna [R],Republican
412457,NC,2,Nay,Rep. Renee Ellmers [R],Republican
412460,OH,6,Nay,Rep. Bill Johnson [R],Republican
412461,OH,15,Nay,Rep. Steve Stivers [R],Republican
412462,OH,16,Nay,Rep. James Renacci [R],Republican
412463,OH,7,Nay,Rep. Bob Gibbs [R],Republican
412465,PA,3,Nay,Rep. Mike Kelly [R],Republican
412466,PA,7,Nay,Rep. Patrick Meehan [R],Republican
412468,PA,10,Nay,Rep. Tom Marino [R],Republican
412469,PA,11,Nay,Rep. Lou Barletta [R],Republican
412470,RI,1,Yea,Rep. David Cicilline [D],Democrat
412472,SC,3,Nay,Rep. Jeff Duncan [R],Republican
412473,SC,4,Nay,Rep. Trey Gowdy [R],Republican
412474,SC,5,Nay,Rep. Mick Mulvaney [R],Republican
412475,SD,0,Nay,Rep. Kristi Noem [R],Republican
412476,TN,3,Nay,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Nay,Rep. Scott DesJarlais [R],Republican
412478,TN,6,Nay,Rep. Diane Black [R],Republican
412479,TN,8,Nay,Rep. Stephen Fincher [R],Republican
412480,TX,17,Nay,Rep. Bill Flores [R],Republican
412482,TX,27,Nay,Rep. Blake Farenthold [R],Republican
412483,VA,2,Nay,Rep. Edward “Scott” Rigell [R],Republican
412484,VA,5,Nay,Rep. Robert Hurt [R],Republican
412485,VA,9,Nay,Rep. Morgan Griffith [R],Republican
412486,WA,3,Nay,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,Nay,Rep. David McKinley [R],Republican
412488,WI,7,Nay,Rep. Sean Duffy [R],Republican
412489,WI,8,Nay,Rep. Reid Ribble [R],Republican
412498,CA,44,Yea,Rep. Janice Hahn [D],Democrat
412500,NV,2,Nay,Rep. Mark Amodei [R],Republican
412501,OR,1,Yea,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Nay,Rep. Thomas Massie [R],Republican
412505,WA,1,Yea,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Yea,Rep. Donald Payne Jr. [D],Democrat
412509,AZ,9,Yea,Rep. Kyrsten Sinema [D],Democrat
412510,CA,1,Nay,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Yea,Rep. Jared Huffman [D],Democrat
